dictID,org,pathway,name,entrez,is_bottleneck,reaction,reaction_type,betweenness,degree,community,eccentricity,radius,diameter
535,mmu,61,ec:2.3.1.179,mmu:71147,0,rn:R04355,irreversible,0.0378540305010893,11,1,2,1,3
559,mmu,61,ec:6.2.1.3,mmu:14081 / mmu:216739 / mmu:328845 / mmu:433256 / mmu:50790 / mmu:74205 / mmu:78625 / mmu:94180,0,rn:R01280,irreversible,0,1,5,2,1,3
NA,mmu,61,NA,mmu:257633,0,rn:R12300,irreversible,0.00108932461873638,5,3,2,1,3
NA,mmu,61,NA,mmu:26922,0,rn:R04430,reversible,0.053921568627451,7,1,2,1,3
NA,mmu,61,NA,mmu:26922,0,rn:R04956,reversible,0.053921568627451,7,1,2,1,3
NA,mmu,61,NA,mmu:26922,0,rn:R04959,reversible,0.053921568627451,7,1,2,1,3
NA,mmu,61,NA,mmu:26922,0,rn:R04962,reversible,0.053921568627451,7,1,2,1,3
NA,mmu,61,NA,mmu:26922,0,rn:R04725,reversible,0.053921568627451,7,1,2,1,3
NA,mmu,61,NA,mmu:26922,0,rn:R04967,reversible,0.053921568627451,7,1,2,1,3
NA,mmu,61,NA,mmu:26922,0,rn:R04970,reversible,0.053921568627451,7,1,2,1,3
NA,mmu,61,NA,mmu:234309,0,rn:R04533,reversible,0.00190631808278867,5,1,2,1,3
NA,mmu,61,NA,mmu:14979,0,NA,NA,0.00190631808278867,5,1,2,1,3
NA,mmu,61,NA,mmu:234309,0,rn:R04953,reversible,0.00190631808278867,5,1,2,1,3
NA,mmu,61,NA,mmu:14979,0,NA,NA,0.00190631808278867,5,1,2,1,3
NA,mmu,61,NA,mmu:234309,0,rn:R04536,reversible,0.00190631808278867,5,1,2,1,3
NA,mmu,61,NA,mmu:14979,0,NA,NA,0.00190631808278867,5,1,2,1,3
NA,mmu,61,NA,mmu:234309,0,rn:R04534,reversible,0.00190631808278867,5,1,2,1,3
NA,mmu,61,NA,mmu:14979,0,NA,NA,0.00190631808278867,5,1,2,1,3
NA,mmu,61,NA,mmu:234309,0,rn:R04964,reversible,0.00190631808278867,5,1,2,1,3
NA,mmu,61,NA,mmu:14979,0,NA,NA,0.00190631808278867,5,1,2,1,3
NA,mmu,61,NA,mmu:234309,0,rn:R04566,reversible,0.00190631808278867,5,1,2,1,3
NA,mmu,61,NA,mmu:14979,0,NA,NA,0.00190631808278867,5,1,2,1,3
NA,mmu,61,NA,mmu:234309,0,rn:R04543,reversible,0.00190631808278867,5,1,2,1,3
NA,mmu,61,NA,mmu:14979,0,NA,NA,0.00190631808278867,5,1,2,1,3
NA,mmu,61,NA,mmu:109729085,0,rn:R04428,reversible,0.00435729847494553,5,1,2,1,3
NA,mmu,61,NA,mmu:109729085,0,rn:R04954,reversible,0.00435729847494553,5,1,2,1,3
